Play Date, 1st, 2nd, 3rd, 4th, 5th, 6th, Kicker, Jackpot Amount, Payouts
1/18/2020, 5, 17, 28, 38, 39, 48, 729692, $8400000.00, 23402.00
1/15/2020, 10, 12, 14, 37, 40, 49, 362360, $8300000.00, 19452.00
1/13/2020, 14, 21, 25, 28, 33, 44, 367210, $8200000.00, 19140.00
1/11/2020, 10, 14, 22, 27, 34, 36, 774351, $8100000.00, 26358.00
1/8/2020, 6, 13, 14, 26, 34, 41, 377344, $8000000.00, 20612.00
1/6/2020, 3, 12, 14, 24, 26, 34, 378983, $7900000.00, 24264.00
1/4/2020, 17, 20, 35, 40, 45, 48, 250796, $7800000.00, 26930.00
1/1/2020, 6, 7, 20, 37, 42, 48, 157555, $7700000.00, 16942.00
12/30/2019, 1, 8, 15, 18, 40, 42, 680546, $7600000.00, 22132.00
12/28/2019, 1, 9, 12, 17, 19, 27, 618357, $7500000.00, 49080.00
12/25/2019, 21, 27, 37, 39, 42, 47, 802726, $7400000.00, 12768.00
12/23/2019, 4, 13, 21, 22, 23, 38, 608626, $7300000.00, 19276.00
12/21/2019, 10, 12, 22, 32, 38, 46, 556749, $7200000.00, 25500.00
12/18/2019, 26, 28, 33, 36, 44, 45, 790616, $7100000.00, 12832.00
12/16/2019, 1, 3, 6, 16, 22, 41, 631446, $7000000.00, 20316.00
12/14/2019, 15, 23, 30, 35, 39, 42, 337187, $6900000.00, 21632.00
12/11/2019, 10, 24, 25, 40, 48, 49, 508419, $6800000.00, 14028.00
12/9/2019, 11, 22, 23, 37, 40, 46, 192608, $6700000.00, 13704.00
12/7/2019, 7, 8, 17, 45, 48, 49, 186633, $6600000.00, 23808.00
12/4/2019, 3, 5, 10, 12, 25, 40, 426893, $6500000.00, 31504.00
12/2/2019, 8, 17, 21, 23, 33, 38, 931944, $6400000.00, 17512.00
11/30/2019, 7, 20, 21, 28, 38, 39, 678525, $6300000.00, 25476.00
11/27/2019, 23, 25, 27, 44, 45, 46, 364138, $6200000.00, 16996.00
11/25/2019, 10, 13, 14, 27, 28, 33, 193952, $6100000.00, 17570.00
11/23/2019, 3, 5, 14, 16, 23, 31, 376408, $6000000.00, 33568.00
11/20/2019, 8, 10, 15, 18, 29, 37, 916097, $5900000.00, 18950.00
11/18/2019, 13, 19, 26, 29, 35, 45, 994965, $5800000.00, 22100.00
11/16/2019, 17, 21, 22, 25, 37, 46, 447811, $5700000.00, 20572.00
11/13/2019, 2, 11, 12, 17, 33, 39, 143957, $5600000.00, 25538.00
11/11/2019, 4, 15, 20, 32, 44, 49, 832227, $5500000.00, 20508.00
11/9/2019, 19, 26, 34, 41, 45, 48, 061346, $5400000.00, 19792.00
11/6/2019, 2, 9, 15, 28, 40, 47, 198566, $5300000.00, 17434.00
11/4/2019, 2, 24, 37, 39, 40, 49, 542352, $5200000.00, 14208.00
11/2/2019, 13, 15, 19, 22, 24, 25, 457160, $5100000.00, 22928.00
10/30/2019, 17, 18, 25, 28, 29, 45, 996165, $5000000.00, 23134.00
10/28/2019, 11, 19, 33, 36, 44, 49, 364106, $4900000.00, 15880.00
10/26/2019, 8, 9, 16, 19, 20, 26, 494378, $4800000.00, 34542.00
10/23/2019, 2, 11, 15, 30, 32, 44, 955573, $4700000.00, 16540.00
10/21/2019, 2, 23, 35, 38, 41, 49, 924252, $4600000.00, 10700.00
10/19/2019, 14, 20, 40, 43, 44, 47, 417848, $4500000.00, 19906.00
10/16/2019, 2, 27, 30, 32, 38, 40, 480600, $4400000.00, 13918.00
10/14/2019, 12, 13, 14, 24, 35, 46, 082092, $4300000.00, 13008.00
10/12/2019, 6, 12, 22, 23, 29, 31, 184349, $4200000.00, 31180.00
10/9/2019, 2, 8, 29, 33, 37, 40, 778149, $4100000.00, 16058.00
10/7/2019, 13, 16, 25, 43, 44, 48, 229881, $4000000.00, 16822.00
10/5/2019, 4, 11, 15, 30, 44, 48, 883939, $3900000.00, 30864.00
10/2/2019, 1, 19, 24, 32, 34, 40, 489911, $3800000.00, 21254.00
9/30/2019, 5, 8, 11, 21, 24, 32, 041216, $3700000.00, 21670.00
9/28/2019, 1, 13, 15, 21, 28, 36, 582621, $3600000.00, 23976.00
9/25/2019, 15, 25, 27, 33, 35, 43, 911770, $3500000.00, 15014.00
9/23/2019, 1, 9, 13, 38, 45, 49, 707631, $3400000.00, 12074.00
9/21/2019, 6, 10, 19, 20, 28, 47, 041089, $3300000.00, 23480.00
9/18/2019, 18, 26, 30, 36, 42, 45, 304834, $3200000.00, 12708.00
9/16/2019, 3, 12, 15, 24, 32, 40, 862988, $3100000.00, 23708.00
9/14/2019, 8, 20, 24, 26, 36, 41, 098679, $3000000.00, 18782.00
9/11/2019, 1, 4, 21, 30, 32, 44, 768974, $2900000.00, 16272.00
9/9/2019, 8, 12, 23, 30, 34, 43, 550469, $2800000.00, 21558.00
9/7/2019, 5, 10, 26, 34, 35, 44, 816537, $2700000.00, 23322.00
9/4/2019, 12, 24, 37, 41, 42, 48, 488369, $2600000.00, 11662.00
9/2/2019, 4, 5, 29, 32, 41, 46, 486741, $2500000.00, 11958.00
8/31/2019, 9, 18, 31, 35, 39, 42, 206239, $2400000.00, 28232.00
8/28/2019, 3, 6, 26, 40, 41, 46, 399421, $2300000.00, 12094.00
8/26/2019, 19, 25, 26, 28, 48, 49, 451859, $2200000.00, 12076.00
8/24/2019, 2, 9, 26, 38, 44, 48, 994269, $2100000.00, 22448.00
8/21/2019, 11, 24, 26, 28, 44, 45, 879077, $2000000.00, 17734.00
8/19/2019, 1, 5, 20, 32, 40, 49, 887381, $1900000.00, 17356.00
8/17/2019, 4, 19, 28, 33, 37, 45, 979010, $1800000.00, 25840.00
8/14/2019, 16, 19, 22, 34, 38, 44, 233704, $1700000.00, 11608.00
8/12/2019, 6, 15, 32, 34, 36, 42, 426042, $1600000.00, 11624.00
8/10/2019, 18, 20, 28, 29, 46, 47, 446082, $1500000.00, 17286.00
8/7/2019, 3, 15, 28, 37, 38, 49, 750508, $1400000.00, 15762.00
8/5/2019, 9, 23, 24, 28, 34, 49, 192218, $1300000.00, 18714.00
8/3/2019, 13, 36, 37, 41, 46, 47, 387529, $1200000.00, 24328.00
7/31/2019, 11, 21, 26, 27, 32, 40, 072664, $1100000.00, 13284.00
7/29/2019, 8, 22, 27, 35, 41, 45, 550487, $1000000.00, 14426.00
7/27/2019, 6, 13, 20, 21, 27, 35, 819888, $18700000.00, 18733732.00
7/24/2019, 2, 6, 12, 27, 37, 38, 874841, $18600000.00, 27202.00
